"Alcohol",1
"Animal abuse",2
"Animal cruelty",2
"Animal neglect",2
"Assault",3
"Attempted murder",5
"Battery",4
"Bomb threat",2
"Breach of peace",1
"Burglary",2
"Child abuse",3
"Child support",1
"Coercion",1
"Criminal mischief",1
"Disorderly conduct",1
"Disorderly",1
"Disturbing the peace",1
"Dogfighting",2
"Domestic assault",4
"Domestic dispute",3
"Domestic violence",4
"Domestic",4
"Drugs",2
"DUI",2
"Eluding police",1
"Evading arrest",1
"Evading police",1
"Failure to appear",1
"False information",1
"False name",1
"Fraud",1
"Gambling",1
"Gun",2
"Guns",2
"Handicap parking",1
"Harassment",1
"Hit-and-run",3
"Indecent exposure",2
"Injury to elderly",3
"Insider Trading",2
"Interfering with police",1
"Leaving scene.",1
"License",1
"Manslaughter",3
"Murder",5
"Obstruction",1
"Outstanding warrant",1
"Pimping",2
"Police interference",1
"Probation violation",1
"Property destruction",1
"Public intoxication",1
"Public urination",1
"Reckless driving",1
"Reckless endangerment",1
"Resisting arrest",1
"Resisting officer",1
"Robbery",2
"Selling alcohol to minor",2
"Sex",1
"Sexual assault",4
"Sexual battery",4
"Solicitation",1
"Speeding",1
"Stalking",1
"Suspended license",1
"Theft",2
"Traffic warrant",1
"Traffic warrants",1
"Trespassing",1
"Vandalism",1
"Violating court order",1
"Weapon",2
"privacy invasion",1
"rape",5
"resisting arrrest",2
"stolen possession",1
